year,Month,country,refugees,Agriculture,Education,Emergency aid,Environment,Infrastructure,Other,expense
2006,1,Canada,2021.0,0.0,1.0,0.0,0.0,0.0,0.0,42367000.0
2006,2,Canada,1532.0,0.0,1.0,0.0,0.0,0.0,0.0,42367000.0
2006,3,Canada,1514.0,0.0,1.0,0.0,0.0,0.0,0.0,42367000.0
2006,4,Canada,1655.0,0.0,1.0,0.0,0.0,0.0,0.0,42367000.0
2006,5,Canada,1783.0,0.0,1.0,0.0,0.0,0.0,0.0,42367000.0
2006,6,Canada,2453.0,0.0,1.0,0.0,0.0,0.0,0.0,42367000.0
2006,7,Canada,2365.0,0.0,1.0,0.0,0.0,0.0,0.0,42367000.0
2006,8,Canada,2161.0,0.0,1.0,0.0,0.0,0.0,0.0,42367000.0
2006,9,Canada,2363.0,0.0,1.0,0.0,0.0,0.0,0.0,42367000.0
2006,10,Canada,1625.0,0.0,1.0,0.0,0.0,0.0,0.0,42367000.0
2006,11,Canada,1735.0,0.0,1.0,0.0,0.0,0.0,0.0,42367000.0
2006,12,Canada,1700.0,0.0,1.0,0.0,0.0,0.0,0.0,42367000.0
2007,1,Canada,2026.0,0.0,1.0,0.0,0.0,0.0,0.0,81644883.78
2007,2,Canada,1905.0,0.0,1.0,0.0,0.0,0.0,0.0,81644883.78
2007,3,Canada,1769.0,0.0,1.0,0.0,0.0,0.0,0.0,81644883.78
2007,4,Canada,1943.0,0.0,1.0,0.0,0.0,0.0,0.0,81644883.78
2007,5,Canada,2122.0,0.0,1.0,0.0,0.0,0.0,0.0,81644883.78
2007,6,Canada,2612.0,0.0,1.0,0.0,0.0,0.0,0.0,81644883.78
2007,7,Canada,2853.0,0.0,1.0,0.0,0.0,0.0,0.0,81644883.78
2007,8,Canada,3407.0,0.0,1.0,0.0,0.0,0.0,0.0,81644883.78
2007,9,Canada,3409.0,0.0,1.0,0.0,0.0,0.0,0.0,81644883.78
2007,10,Canada,1778.0,0.0,1.0,0.0,0.0,0.0,0.0,81644883.78
2007,11,Canada,1959.0,0.0,1.0,0.0,0.0,0.0,0.0,81644883.78
2007,12,Canada,2559.0,0.0,1.0,0.0,0.0,0.0,0.0,81644883.78
2008,1,Canada,2986.0,0.0,1.0,0.0,0.0,0.0,0.0,25245423.0
2008,2,Canada,2904.0,0.0,1.0,0.0,0.0,0.0,0.0,25245423.0
2008,3,Canada,2959.0,0.0,1.0,0.0,0.0,0.0,0.0,25245423.0
2008,4,Canada,2723.0,0.0,1.0,0.0,0.0,0.0,0.0,25245423.0
2008,5,Canada,3241.0,0.0,1.0,0.0,0.0,0.0,0.0,25245423.0
2008,6,Canada,3339.0,0.0,1.0,0.0,0.0,0.0,0.0,25245423.0
2008,7,Canada,3705.0,0.0,1.0,0.0,0.0,0.0,0.0,25245423.0
2008,8,Canada,3716.0,0.0,1.0,0.0,0.0,0.0,0.0,25245423.0
2008,9,Canada,3237.0,0.0,1.0,0.0,0.0,0.0,0.0,25245423.0
2008,10,Canada,2742.0,0.0,1.0,0.0,0.0,0.0,0.0,25245423.0
2008,11,Canada,2521.0,0.0,1.0,0.0,0.0,0.0,0.0,25245423.0
2008,12,Canada,2822.0,0.0,1.0,0.0,0.0,0.0,0.0,25245423.0
2009,1,Canada,2875.0,0.0,0.7733114441109629,0.0,0.0,0.22668855588903708,0.0,335967555.58
2009,1,Greece,1557.0,1.0,0.0,0.0,0.0,0.0,0.0,118000.0
2009,1,United Kingdom,3257.0,0.0,1.0,0.0,0.0,0.0,0.0,2999980.0
2009,2,Canada,3030.0,0.0,0.7733114441109629,0.0,0.0,0.22668855588903708,0.0,335967555.58
2009,2,Greece,1590.0,1.0,0.0,0.0,0.0,0.0,0.0,118000.0
2009,2,United Kingdom,3213.0,0.0,1.0,0.0,0.0,0.0,0.0,2999980.0
2009,3,Canada,3277.0,0.0,0.7733114441109629,0.0,0.0,0.22668855588903708,0.0,335967555.58
2009,3,Greece,1679.0,1.0,0.0,0.0,0.0,0.0,0.0,118000.0
2009,3,United Kingdom,2810.0,0.0,1.0,0.0,0.0,0.0,0.0,2999980.0
2009,4,Albania,1.0,1.0,0.0,0.0,0.0,0.0,0.0,70000000.0
2009,4,Canada,3006.0,0.0,0.7733114441109629,0.0,0.0,0.22668855588903708,0.0,335967555.58
2009,4,Greece,1717.0,1.0,0.0,0.0,0.0,0.0,0.0,118000.0
2009,4,United Kingdom,2275.0,0.0,1.0,0.0,0.0,0.0,0.0,2999980.0
2009,5,Albania,1.0,1.0,0.0,0.0,0.0,0.0,0.0,70000000.0
2009,5,Canada,2902.0,0.0,0.7733114441109629,0.0,0.0,0.22668855588903708,0.0,335967555.58
2009,5,Greece,1086.0,1.0,0.0,0.0,0.0,0.0,0.0,118000.0
2009,5,United Kingdom,2250.0,0.0,1.0,0.0,0.0,0.0,0.0,2999980.0
2009,6,Canada,2238.0,0.0,0.7733114441109629,0.0,0.0,0.22668855588903708,0.0,335967555.58
2009,6,Greece,496.0,1.0,0.0,0.0,0.0,0.0,0.0,118000.0
2009,6,United Kingdom,2003.0,0.0,1.0,0.0,0.0,0.0,0.0,2999980.0
2009,7,Albania,1.0,1.0,0.0,0.0,0.0,0.0,0.0,70000000.0
2009,7,Canada,2508.0,0.0,0.7733114441109629,0.0,0.0,0.22668855588903708,0.0,335967555.58
2009,7,Greece,1584.0,1.0,0.0,0.0,0.0,0.0,0.0,118000.0
2009,7,United Kingdom,2021.0,0.0,1.0,0.0,0.0,0.0,0.0,2999980.0
2009,8,Canada,2474.0,0.0,0.7733114441109629,0.0,0.0,0.22668855588903708,0.0,335967555.58
2009,8,Greece,1136.0,1.0,0.0,0.0,0.0,0.0,0.0,118000.0
2009,8,United Kingdom,2228.0,0.0,1.0,0.0,0.0,0.0,0.0,2999980.0
2009,9,Canada,2424.0,0.0,0.7733114441109629,0.0,0.0,0.22668855588903708,0.0,335967555.58
2009,9,Greece,961.0,1.0,0.0,0.0,0.0,0.0,0.0,118000.0
2009,9,United Kingdom,2101.0,0.0,1.0,0.0,0.0,0.0,0.0,2999980.0
2009,10,Canada,3184.0,0.0,0.7733114441109629,0.0,0.0,0.22668855588903708,0.0,335967555.58
2009,10,Greece,1663.0,1.0,0.0,0.0,0.0,0.0,0.0,118000.0
2009,10,United Kingdom,2297.0,0.0,1.0,0.0,0.0,0.0,0.0,2999980.0
2009,11,Canada,3351.0,0.0,0.7733114441109629,0.0,0.0,0.22668855588903708,0.0,335967555.58
2009,11,Greece,1571.0,1.0,0.0,0.0,0.0,0.0,0.0,118000.0
2009,11,United Kingdom,3817.0,0.0,1.0,0.0,0.0,0.0,0.0,2999980.0
2009,12,Canada,1982.0,0.0,0.7733114441109629,0.0,0.0,0.22668855588903708,0.0,335967555.58
2009,12,Greece,888.0,1.0,0.0,0.0,0.0,0.0,0.0,118000.0
2009,12,United Kingdom,1568.0,0.0,1.0,0.0,0.0,0.0,0.0,2999980.0
2010,1,Canada,1939.0,0.1036653783807817,0.7657815822911268,0.0,0.0,0.13055303932809148,0.0,113548999.52
2010,1,Greece,652.0,1.0,0.0,0.0,0.0,0.0,0.0,99391.0
2010,2,Albania,3.0,1.0,0.0,0.0,0.0,0.0,0.0,70000000.0
2010,2,Canada,1935.0,0.1036653783807817,0.7657815822911268,0.0,0.0,0.13055303932809148,0.0,113548999.52
2010,2,Greece,744.0,1.0,0.0,0.0,0.0,0.0,0.0,99391.0
2010,3,Canada,1751.0,0.1036653783807817,0.7657815822911268,0.0,0.0,0.13055303932809148,0.0,113548999.52
2010,3,Greece,659.0,1.0,0.0,0.0,0.0,0.0,0.0,99391.0
2010,4,Canada,1664.0,0.1036653783807817,0.7657815822911268,0.0,0.0,0.13055303932809148,0.0,113548999.52
2010,4,Greece,838.0,1.0,0.0,0.0,0.0,0.0,0.0,99391.0
2010,5,Albania,1.0,1.0,0.0,0.0,0.0,0.0,0.0,70000000.0
2010,5,Canada,1656.0,0.1036653783807817,0.7657815822911268,0.0,0.0,0.13055303932809148,0.0,113548999.52
2010,5,Greece,989.0,1.0,0.0,0.0,0.0,0.0,0.0,99391.0
2010,6,Albania,2.0,1.0,0.0,0.0,0.0,0.0,0.0,70000000.0
2010,6,Canada,2319.0,0.1036653783807817,0.7657815822911268,0.0,0.0,0.13055303932809148,0.0,113548999.52
2010,6,Greece,886.0,1.0,0.0,0.0,0.0,0.0,0.0,99391.0
2010,7,Albania,2.0,1.0,0.0,0.0,0.0,0.0,0.0,70000000.0
2010,7,Canada,2054.0,0.1036653783807817,0.7657815822911268,0.0,0.0,0.13055303932809148,0.0,113548999.52
